title,role,user_id,traffic,life,education,price,price unit,rent type,area,building type,post time,update time,browse num,favorite num,equiment,fridge,washer,tv,cold,heater,bed,closet,fourth,net,gas,sofa,Chairs,balcony,lift,park,url,reach ratio,rank
市區全新裝潢獨立套房附床組冷氣,3,143567,2,21,3,5000.0,元/月,3,6.0,3,此房屋在4天前發佈,,22,3,0.6,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,https://bff.591.com.tw/v1/house/rent/detail?id=14878023,0.13636363636363635,1.0
雲林縣土庫鎮套房出租,3,1500068,2,21,3,5000.0,元/月,2,8.0,3,此房屋在3天前發佈,,11,2,0.5333333333333333,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,https://bff.591.com.tw/v1/house/rent/detail?id=14885194,0.18181818181818182,2.0
套房出租-土庫鎮公所旁、近土庫國中,3,1698935,2,21,3,5000.0,元/月,2,5.0,3,此房屋在7月9日發佈,,8,1,0.5333333333333333,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,https://bff.591.com.tw/v1/house/rent/detail?id=14855918,0.125,3.0
正三角窗店面，三縣市必經紅綠燈下地點明顯,3,3228289,1,21,3,6500.0,元/月,4,60.0,3,此房屋在6月28日發佈,11天前更新,27,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bff.591.com.tw/v1/house/rent/detail?id=14782692,0.1111111111111111,4.0
鄰大馬路套房，限女性公教,2,3818054,1,20,4,5000.0,元/月,2,5.0,3,此房屋在3天前發佈,,10,0,0.4666666666666667,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,https://bff.591.com.tw/v1/house/rent/detail?id=14884437,0.0,5.0
